Filename       a        mu       tau       a0
simul_10-601-46-8-0.13-42.2-0.37-0.6-0.0015-20-83-18.7-605-13-3.dat   378.5911676860727   58.53553673560315   1.8055996414776265   4.446951366019213e-19     1
simul_5-478-45-1.8000000000000003-0.53-89.2-0.37-0.6-0.0015-20-83-18.7-605-4-2.dat   367.7909881180101   113.88572795037594   2.42990009440714   1.210436166767012e-16     1
simul_1-856-13-0.5-0.36-67.9-0.37-1.6-0.0015-20-83-18.7-605-29-4.dat   51.564252335300424   6.438416593962374   4.055119599158967   5.121137866340167e-10     1
simul_6-240-32-5.4-0.24-94.30000000000001-0.37-1.1-0.0015-20-83-18.7-605-1-4.dat   549.0050740411987   50.06894350765307   2.569517193973591   6.096794790703789e-18     1
simul_10-699-26-2.3000000000000003-0.27-19.400000000000002-0.37-0.1-0.0015-20-83-18.7-605-27-4.dat   27.62231759656652   14.991520617769293   1.5843763450780355   0.9999999999999999     1
simul_7-833-47-0.6-0.25-62.5-0.37-0.6-0.0015-20-83-18.7-605-0-1.dat   232.1956782709459   45.703846901346004   6.568084388910504   0.9999999999980995     1
simul_3-230-17-9-0.18-13.5-0.37-1.6-0.0015-20-83-18.7-605-31-1.dat   120.99518951863257   4.2003132049632725   5.219380964862316   1.2115365504724186e-17     1
simul_9-425-19-1.4000000000000001-0.16-55.800000000000004-0.37-1.1-0.0015-20-83-18.7-605-27-1.dat   204.5283540264831   16.55230603963522   3.125574271765248   1.111023598147969e-19     1
simul_1-353-34-3.6-0.53-38.1-0.37-1.1-0.0015-20-83-18.7-605-13-0.dat   170.957407265417   39.877614662000205   1.7745155128045333   2.923475045145137e-14     1
simul_9-806-39-8.5-0.23-52.5-0.37-1.1-0.0015-20-83-18.7-605-29-0.dat   240.16921542801862   54.05274570180827   2.0214384579818945   1.9483184155286768e-16     1
simul_7-597-37-9.2-0.28-6.5-0.37-1.6-0.0015-20-83-18.7-605-16-1.dat   60.47441263483725   3.356359357172346   3.7940327835423973   6.907375845469985e-18     1
simul_1-988-25-0.7000000000000001-0.92-68.3-0.37-0.6-0.0015-20-83-18.7-605-25-1.dat   54.44428816983376   10.199984975344751   3.244498269461066   0.4051453678328696     1
simul_10-431-27-0.8-0.23-56.300000000000004-0.37-0.6-0.0015-20-83-18.7-605-12-0.dat   296.8524896004297   43.43089503549663   4.721435042265372   5.920666634109375e-19     1
simul_7-331-24-5.5-0.11-50.5-0.37-1.6-0.0015-20-83-18.7-605-27-2.dat   290.14501510574013   20.054793021975804   3.4578330359609137   2.6213261709131336e-18     1
simul_6-477-33-3.1-0.02-34.5-0.37-0.6-0.0015-20-83-18.7-605-23-0.dat   181.79874213836476   14.403782514411668   3.5792031701759153   2.8691805538096765e-19     1
simul_7-107-20-4.3-0.7000000000000001-1.8-0.37-1.6-0.0015-20-83-18.7-605-27-2.dat   26.78504672897196   0.7678965511481031   16.532515716475277   0.9999999999999999     1
simul_2-892-16-5.2-0.29-90-0.37-1.6-0.0015-20-83-18.7-605-0-2.dat   77.23943799797595   10.835080128664353   2.359276981143615   2.9703306497563944e-19     1
simul_1-746-42-6.6-0.48-43.7-0.37-1.6-0.0015-20-83-18.7-605-0-5.dat   83.92962460680322   31.839890047492194   1.295724131867886   8.774923845208798e-15     1
simul_1-431-21-7.4-0.59-94.4-0.37-0.6-0.0015-20-83-18.7-605-16-0.dat   115.85616393038848   23.50858368236799   2.003845175393878   9.059703330501567e-20     1
simul_4-150-40-9.8-0.1-26.200000000000003-0.37-1.6-0.0015-20-83-18.7-605-20-5.dat   490.8133333333333   45.23194658794792   3.970296317663127   4.030246398589784e-18     1
simul_2-729-27-9.5-0.7000000000000001-81.80000000000001-0.37-1.1-0.0015-20-83-18.7-605-31-5.dat   129.99705608574288   39.28992042790031   1.872505693927085   4.45075831393304e-18     1
simul_5-426-19-3.0000000000000004-0.47000000000000003-18.5-0.37-0.1-0.0015-20-83-18.7-605-8-2.dat   13.204225351955891   6.13721665555366   1.3986209763560349   0.9999999999999999     1
simul_3-248-13-2.5000000000000004-0.74-52.1-0.37-1.1-0.0015-20-83-18.7-605-1-2.dat   201.5489258684632   20.090129037824003   3.4206862845355994   3.974747487669588e-21     1
